year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1970,0.160171191,-0.177385277,0.072630113,-0.244619144,-0.234343957,-0.162236308,-0.235954727,-0.20052129,0.059233367,-0.174896646,-0.328518975,0.04963606,0.148083097,0.043517048,0.086012571,-0.021210489,-0.21733549,-0.175234981
1971,-0.265001528,0.09414413,0.130242053,-0.012003431,-0.025507608,0.160838782,-0.013859287,-0.104120495,0.108132751,0.036700059,-0.299610824,-0.674858104,-0.559000079,-0.218537484,-0.449474124,0.310364498,0.405466343,0.075555027
1972,0.162188637,0.644430669,0.138525915,0.157779962,0.168775198,0.123533475,0.177078561,-0.178664296,0.45461821,0.229136082,-0.17484259,0.089436913,0.176159475,-0.546286105,-0.52747806,-0.287614465,0.38488819,-0.569396989
1973,0.817640108,0.625701729,0.541885404,0.221282329,0.530780498,0.967677841,0.691085509,0.785146351,-0.439874323,0.298263089,0.746692853,0.707964318,0.647960581,0.789405009,0.719574604,0.496729909,-0.769151239,0.091796919
1974,0.314658421,0.13884803,0.164610852,0.26297381,0.47981424,0.555521474,0.202031604,0.768961256,0.447406635,0.117836889,0.139003854,-0.009718315,-0.438969133,-0.470308462,-0.649001581,-0.402394919,0.417954193,0.300955108
1975,-0.247883772,0.554035741,0.471779117,0.08196729,0.448702434,0.602780812,0.084217021,0.703610048,0.279760801,0.157876795,0.437100996,0.614671233,0.35417634,0.043736883,0.031589381,0.294795934,0.00418615,0.118579625
1976,0.60505421,-0.006801982,-0.13581048,0.1843243,-0.084282548,0.205391739,-0.372806421,-0.374997413,-0.043070949,-0.189007325,-0.438672885,-0.118423212,-0.017497835,-0.237483766,0.12908182,0.027543812,0.230029086,-0.214120057
1977,0.033886773,-0.415387529,-0.167625976,-0.456462727,-0.525750189,-0.091832957,-0.568245687,-0.288174321,-0.674710753,-0.234693126,-0.133976372,0.114448846,0.189270448,-0.93264593,-0.077717434,-0.531651707,-0.983011543,-0.26321846
1978,0.256336865,0.638766768,0.27248889,0.042636922,0.152549001,0.005750429,0.226792746,0.102137061,0.341648352,0.489116485,-0.231194032,-0.415868438,-0.036558395,0.20572335,0.509087242,0.300477402,0.549648366,0.579284843
1979,0.241006986,0.461393352,0.269898836,0.153270675,0.682949531,0.621408047,0.2073261,0.673317841,-0.050170913,0.125917227,0.223391866,0.569757668,0.524614554,0.221597461,0.746774141,0.023854337,-0.42996373,0.081141291
1980,-0.574547829,-0.170161977,0.114957329,0.035875425,0.18938682,0.112134454,-0.355305893,0.072179181,-0.491107016,-0.394133789,-0.242286015,-0.300653585,-0.42514442,0.210910866,0.09610387,0.505356132,0.367197509,0.438505499
1981,-0.26782653,-0.722656011,-0.633903708,-0.096496268,-0.298617723,-0.717095745,0.003567937,-0.493671814,-0.055244638,-0.172664399,-0.300812628,0.241987853,0.734309356,-0.114360054,-0.084782537,-0.213397573,0.195732119,-0.615544537
1982,0.162210222,-0.103520278,0.204518245,0.040142518,-0.068850407,0.07571064,0.185853308,-0.295013344,0.047426614,0.387523807,0.230205533,-0.030718994,-0.102891264,0.339835186,0.285886559,0.573792233,0.55470353,0.670683917
1983,0.201525306,-0.005886153,0.418557337,0.235032101,-0.268806315,0.248065149,0.463711579,0.805850229,-0.024816517,0.306317413,-0.027315467,0.123218891,0.133501275,0.800392818,0.799133411,1.097248566,0.864343581,1.225171775
1984,0.922210114,0.89685082,0.560223027,0.278227336,0.182427754,0.385742538,0.368331356,0.145375707,-0.390714452,0.19487106,-0.031492982,-0.394248242,0.23822927,0.587650409,0.674131309,0.863804974,0.55958578,0.067628096
1985,-0.966359504,-0.705885275,-0.548837936,0.401392065,-0.02456202,-0.484572486,0.372220427,0.065259726,0.145925088,-0.060246727,0.65536514,0.493501175,0.711219957,0.362398691,0.537647657,-0.034592049,-0.424961441,-0.181556159
1986,-0.082704336,-0.266341982,-0.444156985,0.480147183,-0.167853455,-1.121816651,0.510211696,-0.477692804,0.464534748,0.480700732,0.191837629,0.102658781,0.369690157,0.598035922,0.504548952,0.433889434,0.188012662,0.389158589
1987,-0.342893625,0.021422272,0.265046116,-0.513884208,-0.232713247,-0.144782629,-0.411159837,0.14679835,-0.071943914,0.333387532,0.737965231,0.76537148,1.039115484,0.397135917,0.23563454,-0.108234102,-0.250453052,-0.460274809
1988,-0.440183431,-0.320520075,-0.383722776,-0.381460696,-0.807719154,-1.106162484,-0.787124369,-0.205118979,-0.876531343,-0.649420651,0.071818267,-0.20106658,0.0717708,0.043922435,0.448518699,-0.058016284,-0.651828942,0.017132944
1989,-0.070519968,0.271626421,0.21842189,-0.054470119,0.753286998,0.985263157,-0.319894472,0.689667797,0.149266544,-0.300816861,0.168669107,0.049085388,-0.201752468,-0.493070463,-0.322216253,-0.236304678,-0.131226096,-0.264358341
1990,0.12861047,0.154179539,-0.069835325,0.199895224,0.275750582,0.227383528,0.166939581,-0.039810367,-0.160234325,-0.036588755,0.188977554,0.004188316,0.204541877,-0.492408006,-0.033576381,-0.205729543,-0.07068044,-0.205604939
1991,0.330097173,-0.16888877,0.552881227,0.305238031,0.159814469,0.742291873,0.186516516,0.808826631,-0.031048959,-0.081433779,-0.029889383,0.532653737,0.546374444,0.037189943,0.082609239,-0.148469735,0.010879227,-0.331257188
1992,-0.142093528,-0.321908202,-0.158824298,0.146267757,-0.10739604,-0.007159657,0.013438353,0.184589046,-0.1664781,0.064906773,0.543446947,0.964459913,0.791334857,0.349168676,0.867068666,-0.325242933,-0.455083755,0.007947911
1993,-0.353590401,0.117464866,0.081325746,0.311114944,-0.194586417,-0.314480534,0.846376943,0.005330196,0.228934329,0.719523057,0.549320437,0.221198918,0.06882954,0.580755897,0.245153297,0.376103087,0.435892802,0.418261772
1994,0.29371656,0.693431612,0.301841936,-0.112594251,0.506599644,0.718354779,-0.183668709,0.259883688,-0.384776588,-0.171278872,0.019868442,-0.033789125,-0.276488444,-0.319306261,-0.187505802,-0.468843358,-0.780669917,-0.401518844
